time,x_input,x_tracking,z_input,z_tracking
3.7377822399139404,0.0,0,0.0,0
3.8491666316986084,0.0,0,0.0,0
3.9320931434631348,0.0,0,0.0,0
4.023297548294067,0.0,0,0.0,0
4.1174235343933105,0.0,0,0.0,0
4.2097485065460205,0.0,0,0.0,0
4.300915002822876,0.0,0,0.0,0
4.391907453536987,0.0,0,0.0,0
4.472563028335571,0.0,0,0.0,0
4.513571500778198,0.0,-0.0,0.0,-3.141592653589793
4.546574831008911,0.0,-0.0,0.0,-3.141592653589793
4.588329553604126,0.0,-0.0,0.0,-3.141592653589793
4.628901481628418,0.0,-0.0,0.0,-3.141592653589793
4.66975474357605,0.0,-0.0,0.0,-3.141592653589793
4.709252834320068,0.0,-0.0,0.0,-3.141592653589793
4.747311592102051,0.0,-0.004601215592056841,0.0,3.1397958772842123
4.786041736602783,0.0,-0.03215111566077094,0.0,3.1147704319460563
4.826679706573486,0.0,-0.04748904185434934,0.0,3.029346374398112
4.866564989089966,0.0,-0.029251426413109752,0.0,3.0955165370853353
4.904716968536377,0.0,-0.02454217339037804,0.0,-3.117892763458539
4.944379568099976,0.0,-0.00020074297742973723,0.0,3.1413919508011277
4.9749321937561035,0.0,-0.018047513993937035,0.0,-3.08306203856088
5.0050835609436035,0.0,-0.022815434396394142,0.0,-3.0818910238318775
5.038233995437622,0.0,-0.014506595053070377,0.0,-3.0880928440322526
5.069859981536865,0.0,-0.0038114469211154604,0.0,-3.0898463478640292
5.1013288497924805,0.0,0.004707332880143767,0.0,-3.0940940727405724
5.133100748062134,0.0,0.010940948595269425,0.0,-3.097252511412164
5.165053367614746,0.0,0.01497046484813341,0.0,-3.113085617420653
5.197054862976074,0.0,0.0212854274989608,0.0,-3.118826325949564
5.243693590164185,0.0,0.020047307195311687,0.0,-3.1271300122749
5.276086091995239,0.0,0.014706779758807787,0.0,3.135565834599807
5.307790994644165,0.0,0.011412989495562182,0.0,3.1274411494983347
